Fluence,bO2+
4.3609E+04,4.7965E+07
6.0277E+04,6.6298E+07
8.3316E+04,9.1638E+07
1.1516E+05,1.2666E+08
1.5918E+05,1.7508E+08
2.2002E+05,2.4199E+08
3.0411E+05,3.3449E+08
4.2035E+05,4.6234E+08
5.8102E+05,6.3905E+08
8.0309E+05,8.8331E+08
1.1101E+06,1.2209E+09
1.5343E+06,1.6876E+09
2.1208E+06,2.3326E+09
2.9314E+06,3.2242E+09
4.0518E+06,4.4565E+09
5.6005E+06,6.1599E+09
7.7411E+06,8.5144E+09
1.0700E+07,1.1769E+10
1.4790E+07,1.6267E+10
2.0442E+07,2.2485E+10
2.8256E+07,3.1079E+10
3.9056E+07,4.2959E+10
5.3984E+07,5.9380E+10
7.4617E+07,8.2079E+10
1.0314E+08,1.1346E+11
1.4256E+08,1.5683E+11
1.9705E+08,2.1679E+11
2.7236E+08,2.9968E+11
3.7646E+08,4.1429E+11
5.2035E+08,5.7275E+11
7.1924E+08,7.9189E+11
9.9415E+08,1.0950E+12
1.3741E+09,1.5143E+12
1.8994E+09,2.0947E+12
2.6253E+09,2.8983E+12
3.6288E+09,4.0119E+12
5.0157E+09,5.5562E+12
6.9329E+09,7.7007E+12
9.5827E+09,1.0684E+13
1.3245E+10,1.4843E+13
1.8308E+10,2.0662E+13
2.5306E+10,2.8837E+13
3.4978E+10,4.0388E+13
4.8347E+10,5.6834E+13
6.6827E+10,8.0484E+13
9.2369E+10,1.1492E+14
1.2767E+11,1.6583E+14
1.7647E+11,2.4252E+14
2.4392E+11,3.6046E+14
3.3716E+11,5.4606E+14
4.6602E+11,8.4507E+14
6.4415E+11,1.3378E+15
8.9035E+11,2.1660E+15
1.2307E+12,3.5804E+15
1.7010E+12,6.0219E+15
2.3512E+12,1.0253E+16
3.2499E+12,1.7563E+16
4.4921E+12,3.0045E+16
6.2090E+12,5.0914E+16
8.5822E+12,8.4719E+16
1.1862E+13,1.3721E+17
1.6397E+13,2.1465E+17
2.2664E+13,3.2312E+17
3.1326E+13,4.6930E+17
4.3299E+13,6.6445E+17
5.9849E+13,9.2927E+17
8.2725E+13,1.2957E+18
1.1434E+14,1.8081E+18
1.5805E+14,2.5320E+18
2.1846E+14,3.5717E+18
3.0196E+14,5.1084E+18
4.1737E+14,7.4897E+18
5.7689E+14,1.1460E+19
7.9739E+14,1.8805E+19
1.1022E+15,3.4285E+19
1.5234E+15,7.1717E+19
2.1057E+15,1.6875E+20
2.9106E+15,3.7139E+20
4.0231E+15,5.6939E+20
5.5607E+15,6.3602E+20
7.6862E+15,6.4461E+20
1.0624E+16,6.4504E+20
1.4685E+16,6.4505E+20
2.0297E+16,6.4505E+20
2.8055E+16,6.4505E+20
3.8779E+16,6.4505E+20
5.3601E+16,6.4505E+20
7.4088E+16,6.4505E+20
1.0241E+17,6.4504E+20
1.4155E+17,6.4503E+20
1.9565E+17,6.4502E+20
2.7043E+17,6.4500E+20
3.7379E+17,6.4497E+20
5.1666E+17,6.4494E+20
7.1414E+17,6.4491E+20
9.8709E+17,6.4488E+20
1.3644E+18,6.4484E+20
1.8859E+18,6.4480E+20
2.6067E+18,6.4476E+20
3.6030E+18,6.4472E+20
