6
O
O2
O3
gO
gO2
gO3
9
 4221 O         O                   O2                                                4.90E-20  1.58      0.0
 6554 gO        gO                  gO2                                               5.00E-01  0.00      0.0
 6562 gO3       gO3                 gO2       gO2       gO2                           1.00E+00  0.00   9999.0
 6972 gO        DESORB              O                                                 1.00E+00  0.00   1660.0
 6973 gO2       DESORB              O2                                                1.00E+00  0.00    930.0
 6974 gO3       DESORB              O3                                                1.00E+00  0.00   1833.0
 7940 O         FREEZE              gO                                                1.00E+00  0.00      0.0
 7941 O2        FREEZE              gO2                                               1.00E+00  0.00      0.0
 7942 O3        FREEZE              gO3                                               1.00E+00  0.00      0.0
